startDate,value,unit,sourceName
2021-08-10 07:08:26 -0800,247.226,lb,Health Mate
2021-08-07 06:05:23 -0800,243.867,lb,Health Mate
2021-08-02 13:28:49 -0800,245.608,lb,Health Mate
2021-07-25 08:22:15 -0800,242.731,lb,Health Mate
2021-07-18 08:07:31 -0800,243.692,lb,Health Mate
2021-07-10 06:54:33 -0800,243.313,lb,Health Mate
2021-07-07 14:33:56 -0800,242.423,lb,Health Mate
2021-07-05 07:02:51 -0800,241.834,lb,Health Mate
2021-07-04 07:48:57 -0800,241.452,lb,Health Mate
2021-07-03 06:31:47 -0800,241.704,lb,Health Mate
2021-06-30 07:11:58 -0800,242.339,lb,Health Mate
2021-06-26 05:35:56 -0800,241.922,lb,Health Mate
2021-06-22 19:26:44 -0800,241.686,lb,Health Mate
2021-06-20 20:09:29 -0800,241.598,lb,Health Mate
2021-06-18 04:43:44 -0800,240.529,lb,Health Mate
2021-06-16 04:41:43 -0800,240.489,lb,Health Mate
2021-06-13 06:45:26 -0800,238.13,lb,Health Mate
2021-06-12 09:04:31 -0800,238.459,lb,Health Mate
2021-06-11 04:46:50 -0800,238.302,lb,Health Mate
2021-06-09 04:28:02 -0800,236.631,lb,Health Mate
2021-06-08 04:42:50 -0800,236.635,lb,Health Mate
2021-06-05 05:21:35 -0800,237.222,lb,Health Mate
2021-06-02 04:53:04 -0800,232.956,lb,Health Mate
2021-06-01 05:01:37 -0800,232.314,lb,Health Mate
2021-05-31 06:10:48 -0800,231.671,lb,Health Mate
2021-05-30 06:11:16 -0800,233.333,lb,Health Mate
2021-05-29 06:19:43 -0800,233.5,lb,Health Mate
2021-05-21 06:46:05 -0800,234.695,lb,Health Mate
2021-05-20 05:28:58 -0800,234.219,lb,Health Mate
2021-05-18 05:03:34 -0800,232.888,lb,Health Mate
2021-05-16 05:53:00 -0800,234.122,lb,Health Mate
2021-05-15 05:24:16 -0800,233.981,lb,Health Mate
2021-05-12 05:20:34 -0800,233.381,lb,Health Mate
2021-05-06 05:14:39 -0800,231.825,lb,Health Mate
2021-05-05 23:11:22 -0800,233.364,lb,Health Mate
2021-05-05 05:05:52 -0800,233.115,lb,Health Mate
2021-05-03 04:57:23 -0800,234.812,lb,Health Mate
2021-05-02 07:38:58 -0800,234.962,lb,Health Mate
2021-05-01 07:25:33 -0800,234.658,lb,Health Mate
2021-04-30 05:24:31 -0800,235.862,lb,Health Mate
2021-04-29 05:21:48 -0800,234.296,lb,Health Mate
2021-04-27 05:05:13 -0800,235.072,lb,Health Mate
2021-04-26 05:20:07 -0800,234.651,lb,Health Mate
2021-04-25 05:56:46 -0800,234.29,lb,Health Mate
2021-04-24 06:44:54 -0800,234.138,lb,Health Mate
2021-04-24 06:43:39 -0800,235,lb,SelectTech
2021-04-24 06:43:38 -0800,235,lb,SelectTech
2021-04-23 05:19:37 -0800,234.279,lb,Health Mate
2021-04-21 05:01:52 -0800,232.808,lb,Health Mate
2021-04-20 05:08:09 -0800,233.32,lb,Health Mate
2021-04-19 04:58:22 -0800,233.983,lb,Health Mate
2021-04-18 07:37:11 -0800,234.867,lb,Health Mate
2021-04-14 05:09:00 -0800,233.258,lb,Health Mate
2021-04-13 04:38:53 -0800,231.832,lb,Health Mate
2021-04-12 05:01:56 -0800,231.309,lb,Health Mate
2021-04-10 05:22:45 -0800,231.327,lb,Health Mate
2021-04-09 04:40:24 -0800,229.402,lb,Health Mate
2021-04-08 04:15:20 -0800,231.071,lb,Health Mate
2021-04-07 03:47:56 -0800,231.241,lb,Health Mate
2021-04-06 04:16:34 -0800,232.085,lb,Health Mate
2021-04-05 04:16:31 -0800,234.01,lb,Health Mate
